"","species","plot","tree_number","series_name","ring_count","yrs2pth","age_est"
"1","POTR","A218",5,"A218t05",94,113,207
"2","POTR","A218",23,"A218t23",36,12,48
"3","POTR","A218",25,"A218t25",42,0,42
"4","POTR","A218",28,"A218t28",38,10,48
"5","POTR","A218",29,"A218t29",38,16,54
"6","POTR","A218",30,"A218t30",43,9,52
"7","POTR","A218",38,"A218t38",41,3,44
"8","POTR","C138",2,"C138t02",85,11,96
"9","POTR","C138",4,"C138t04",89,6,95
"10","POTR","C138",6,"C138t06",88,12,100
"11","POTR","C138",13,"C138t13",90,2,92
"12","POTR","C138",22,"C138t22",89,8,97
"13","POTR","C138",31,"C138t31",89,7,96
"14","POTR","C138",32,"C138t32",88,12,100
"15","POTR","C138",36,"C138t36",90,6,96
"16","POTR","D012",2,"D012t02",65,63,128
"17","POTR","D012",7,"D012t07",81,30,111
"18","POTR","D012",12,"D012t12",52,0,52
"19","POTR","D012",17,"D012t17",87,12,99
"20","POTR","D012",30,"D012t30",87,4,91
"21","POTR","D012",35,"D012t35",91,10,101
"22","POTR","D012",38,"D012t38",106,10,116
"23","POTR","D017",1,"D017t01",89,5,94
"24","POTR","D017",3,"D017t03",78,19,97
"25","POTR","D017",4,"D017t04",74,30,104
"26","POTR","D017",9,"D017t09",92,2,94
"27","POTR","D017",10,"D017t10",62,21,83
"28","POTR","D017",22,"D017t22",84,9,93
"29","POTR","D017",24,"D017t24",83,10,93
"30","POTR","D017",26,"D017t26",86,6,92
"31","POTR","D017",31,"D017t31",89,8,97
"32","POTR","D022",1,"D022t01",132,22,154
"33","POTR","D022",4,"D022t04",132,53,185
"34","POTR","D022",8,"D022t08",129,20,149
"35","POTR","D022",19,"D022t19",80,67,147
"36","POTR","D022",20,"D022t20",135,11,146
"37","POTR","D022",38,"D022t38",126,35,161
"38","POTR","D022",55,"D022t55",89,51,140
"39","POTR","D022",57,"D022t57",124,24,148
"40","POTR","D022",91,"D022t91",130,17,147
"41","POTR","D022",100,"D022100",120,56,176
"42","POTR","D953",2,"D953t02",102,12,114
"43","POTR","D953",12,"D953t12",102,30,132
"44","POTR","D953",15,"D953t15",101,17,118
"45","POTR","D953",24,"D953t24",78,43,121
"46","POTR","D953",29,"D953t29",106,6,112
"47","POTR","D953",33,"D953t33",101,16,117
"48","POTR","D953",44,"D953t44",102,28,130
"49","POTR","D953",46,"D953t46",99,35,134
"50","POTR","F107",5,"F107t05",89,9,98
"51","POTR","F107",15,"F107t15",94,18,112
"52","POTR","F107",16,"F107t16",79,23,102
"53","POTR","F107",18,"F107t18",92,10,102
"54","POTR","F107",25,"F107t25",94,9,103
"55","POTR","F107",27,"F107t27",91,6,97
"56","POTR","F107",30,"F107t30",96,6,102
"57","POTR","F107",36,"F107t36",92,7,99
"58","POTR","F107",40,"F107t40",88,12,100
"59","POTR","F109",7,"F109t07",100,18,118
"60","POTR","F109",21,"F109t21",89,13,102
"61","POTR","F109",24,"F109t24",81,14,95
"62","POTR","F109",39,"F109t39",81,15,96
"63","POTR","F109",41,"F109t41",85,8,93
"64","POTR","F109",50,"F109t50",92,11,103
"65","POTR","F109",52,"F109t52",95,12,107
"66","POTR","F109",59,"F109t59",92,16,108
"67","POTR","H039",1,"H039t01",96,110,206
"68","POTR","H039",12,"H039t12",84,65,149
"69","POTR","H039",16,"H039t16",84,230,314
"70","POTR","H039",19,"H039t19",142,34,176
"71","POTR","L135",1,"L135t01",83,12,95
"72","POTR","L135",6,"L135t06",86,11,97
"73","POTR","L135",17,"L135t17",87,12,99
"74","POTR","L135",21,"L135t21",92,8,100
"75","POTR","L135",25,"L135t25",86,7,93
"76","POTR","L135",30,"L135t30",90,8,98
"77","POTR","L135",36,"L135t36",90,9,99
"78","POTR","L135",49,"L135t49",88,6,94
"79","POTR","L135",56,"L135t56",90,6,96
"80","POTR","M002",6,"M002t06",73,9,82
"81","POTR","M002",8,"M002t08",58,46,104
"82","POTR","M002",9,"M002t09",76,8,84
"83","POTR","M002",13,"M002t13",77,7,84
"84","POTR","M002",19,"M002t19",74,11,85
"85","POTR","M002",27,"M002t27",74,8,82
"86","POTR","M002",29,"M002t29",80,7,87
"87","POTR","M002",30,"M002t30",71,11,82
"88","POTR","M002",31,"M002t31",67,10,77
"89","POTR","M129",4,"M129t04",96,2,98
"90","POTR","M129",5,"M129t05",95,14,109
"91","POTR","M129",7,"M129t07",69,42,111
"92","POTR","M129",22,"M129t22",76,9,85
"93","POTR","M129",26,"M129t26",75,40,115
"94","POTR","M129",28,"M129t28",68,61,129
"95","POTR","M317",6,"M317t06",53,16,69
"96","POTR","M317",8,"M317t08",53,53,106
"97","POTR","M317",13,"M317t13",51,28,79
"98","POTR","M317",16,"M317t16",57,21,78
"99","POTR","M317",41,"M317t41",56,15,71
"100","POTR","M317",43,"M317t43",49,5,54
"101","POTR","M317",45,"M317t45",51,2,53
"102","POTR","M317",46,"M317t46",50,12,62
"103","POTR","M317",49,"M317t49",48,16,64
"104","POTR","M317",57,"M317t57",47,13,60
"105","POTR","N124",1,"N124t01",90,17,107
"106","POTR","N142",2,"N142t02",36,93,129
"107","POTR","N124",7,"N124t07",62,49,111
"108","POTR","N124",9,"N124t09",95,25,120
"109","POTR","N124",10,"N124t10",90,36,126
"110","POTR","N124",17,"N124t17",47,64,111
"111","POTR","N124",19,"N124t19",92,24,116
"112","POTR","N124",20,"N124t20",91,26,117
"113","POTR","N142",21,"N142t21",73,2,75
"114","POTR","N142",23,"N142t23",69,11,80
"115","POTR","N124",29,"N124t29",91,15,106
"116","POTR","N142",31,"N142t31",59,20,79
"117","POTR","N142",49,"N142t49",73,7,80
"118","POTR","N142",54,"N142t54",72,6,78
"119","POTR","N117",5,"N117t05",70,11,81
"120","POTR","N117",22,"N117t22",137,4,141
"121","POTR","N117",25,"N117t25",67,11,78
"122","POTR","N117",26,"N117t26",99,25,124
"123","POTR","N117",40,"N117t40",75,15,90
"124","POTR","N117",43,"N117t43",70,82,152
"125","POTR","N117",46,"N117t46",78,20,98
"126","POTR","N117",104,"N117104",67,14,81
"127","POTR","N117",107,"N117107",74,0,74
"128","POTR","N130",5,"N130t05",78,33,111
"129","POTR","N130",8,"N130t08",91,16,107
"130","POTR","N130",13,"N130t13",94,4,98
"131","POTR","N130",15,"N130t15",88,10,98
"132","POTR","N130",17,"N130t17",94,7,101
"133","POTR","N130",21,"N130t21",80,46,126
"134","POTR","N130",32,"N130t32",72,34,106
"135","POTR","N130",33,"N130t33",94,12,106
"136","POTR","N130",34,"N130t34",99,5,104
"137","POTR","N307",2,"N307t02",54,5,59
"138","POTR","N307",9,"N307t09",49,12,61
"139","POTR","N307",10,"N307t10",57,2,59
"140","POTR","N307",14,"N307t14",55,2,57
"141","POTR","N307",15,"N307t15",54,9,63
"142","POTR","N307",17,"N307t17",54,4,58
"143","POTR","N307",24,"N307t24",51,10,61
"144","POTR","N307",26,"N307t26",50,13,63
"145","POTR","N424",25,"N424t25",63,11,74
"146","POTR","N424",15,"N424t15",69,6,75
"147","POTR","N424",31,"N424t31",70,11,81
"148","POTR","N424",10,"N424t10",76,5,81
"149","POTR","N424",52,"N424t52",60,9,69
"150","POTR","N424",54,"N424t54",73,11,84
"151","POTR","N424",2,"N424t02",70,3,73
"152","POTR","N424",45,"N424t45",75,10,85
"153","POTR","N424",14,"N424t14",69,7,76
"154","POTR","N424",50,"N424t50",75,9,84
"155","POTR","N424",51,"N424t51",73,7,80
"156","POTR","N424",23,"N424t23",52,0,52
"157","POTR","N424",9,"N424t09",65,11,76
"158","POTR","S157",1,"S157t01",91,12,103
"159","POTR","S157",17,"S157t17",78,10,88
"160","POTR","S157",25,"S157t25",87,21,108
"161","POTR","S157",26,"S157t26",79,9,88
"162","POTR","S157",28,"S157t28",82,11,93
"163","POTR","S157",34,"S157t34",96,9,105
"164","POTR","S157",84,"S157t84",93,17,110
"165","POTR","S157",87,"S157t87",93,10,103
"166","POTR","S157",91,"S157t91",93,10,103
"167","POTR","S157",102,"S157102",86,15,101
"168","POTR","S244",2,"S244t02",141,35,176
"169","POTR","S244",3,"S244t03",144,28,172
"170","POTR","S244",4,"S244t04",143,30,173
"171","POTR","S244",5,"S244t05",136,28,164
"172","POTR","S244",8,"S244t08",149,14,163
"173","POTR","S244",10,"S244t10",149,55,204
"174","POTR","S244",16,"S244t16",65,20,85
"175","POTR","T105",2,"T105t02",93,8,101
"176","POTR","T105",3,"T105t03",89,12,101
"177","POTR","T105",4,"T105t04",90,11,101
"178","POTR","T105",7,"T105t07",83,24,107
"179","POTR","T105",17,"T105t17",93,7,100
"180","POTR","T105",19,"T105t19",88,22,110
"181","POTR","T105",21,"T105t21",89,16,105
"182","POTR","T105",30,"T105t30",92,6,98
"183","POTR","BCEF",1,"BCEFPt01",194,30,224
"184","POTR","BCEF",2,"BCEFPt02",162,26,188
"185","POTR","BCEF",6,"BCEFPt06",192,28,220
"186","POTR","BCEF",7,"BCEFPt07",166,71,237
"187","POTR","BCEF",9,"BCEFPt09",189,25,214
"188","POTR","BCEF",10,"BCEFPt10",179,64,243
"189","POTR","BCEF",11,"BCEFPt11",193,29,222
"190","POTR","BCEF",13,"BCEFPt13",173,33,206
"191","POTR","BCEF",14,"BCEFPt14",181,54,235
"192","POTR","BCEF",15,"BCEFPt15",194,13,207
"193","POTR","BCEF",16,"BCEFPt16",187,14,201
"194","POTR","BCEF",17,"BCEFPt17",190,70,260
"195","POTR","BCEF",18,"BCEFPt18",176,73,249
"196","POTR","BCEF",20,"BCEFPt20",187,70,257
"197","POTR","BCEF",21,"BCEFPt21",171,49,220
"198","POTR","BCEF",22,"BCEFPt22",174,5,179
"199","POTR","BCEF",24,"BCEFPt24",191,4,195
"200","POTR","BCEF",26,"BCEFPt26",186,52,238
"201","POTR","BD3.5",1,"BD3.5P01",99,7,106
"202","POTR","BD3.5",2,"BD3.5P02",95,11,106
"203","POTR","BD3.5",3,"BD3.5P03",96,26,122
"204","POTR","BD3.5",4,"BD3.5P04",100,7,107
"205","POTR","BD3.5",5,"BD3.5P05",97,15,112
"206","POTR","BD3.5",6,"BD3.5P06",98,9,107
"207","POTR","BD3.5",7,"BD3.5P07",100,15,115
"208","POTR","BD3.5",8,"BD3.5P08",47,3,50
"209","POTR","BD3.5",9,"BD3.5P09",45,7,52
"210","POTR","BD3.5",10,"BD3.5P10",45,12,57
"211","POTR","BD3.5",11,"BD3.5P11",102,6,108
"212","POTR","BD3.5",12,"BD3.5P12",100,9,109
"213","POTR","BD3.5",13,"BD3.5P13",46,8,54
"214","POTR","BD3.5",14,"BD3.5P14",45,8,53
"215","POTR","BD3.5",15,"BD3.5P15",104,16,120
"216","POTR","BD3.5",16,"BD3.5P16",47,5,52
"217","POTR","BD3.5",17,"BD3.5P17",47,3,50
"218","POTR","BD3.5",18,"BD3.5P18",46,7,53
"219","POTR","BD3.5",19,"BD3.5P19",46,3,49
"220","POTR","BD3.5",20,"BD3.5P20",45,8,53
"221","POTR","BD3.5",21,"BD3.5P21",47,1,48
"222","POTR","BD3.5",22,"BD3.5P22",46,4,50
"223","POTR","BD3.5",23,"BD3.5P23",47,6,53
"224","POTR","BD3.5",24,"BD3.5P24",47,2,49
"225","POTR","BD3.5",25,"BD3.5P25",46,2,48
"226","POTR","BD3.5",26,"BD3.5P26",99,12,111
"227","POTR","CPCPRW",1,"CPCRPt01",85,11,96
"228","POTR","CPCPRW",2,"CPCRPt02",89,11,100
"229","POTR","CPCPRW",3,"CPCRPt03",79,11,90
"230","POTR","CPCPRW",4,"CPCRPt04",87,1,88
"231","POTR","CPCPRW",5,"CPCRPt05",81,12,93
"232","POTR","CPCPRW",6,"CPCRPt06",85,10,95
"233","POTR","CPCPRW",7,"CPCRPt07",79,16,95
"234","POTR","CPCPRW",8,"CPCRPt08",86,2,88
"235","POTR","CPCPRW",9,"CPCRPt09",87,2,89
"236","POTR","CPCPRW",10,"CPCRPt10",86,9,95
"237","POTR","CPCPRW",11,"CPCRPt11",87,6,93
"238","POTR","CPCPRW",12,"CPCRPt12",84,0,84
"239","POTR","CPCPRW",13,"CPCRPt13",80,3,83
"240","POTR","CPCPRW",14,"CPCRPt14",87,6,93
"241","POTR","CPCPRW",15,"CPCRPt15",91,4,95
"242","POTR","CPCPRW",16,"CPCRPt16",79,2,81
"243","POTR","CPCPRW",18,"CPCRPt18",87,1,88
"244","POTR","CPCPRW",19,"CPCRPt19",89,4,93
"245","POTR","CPCPRW",20,"CPCRPt20",85,2,87
"246","POTR","CPCPRW",21,"CPCRPt21",84,7,91
"247","POTR","CPCPRW",22,"CPCRPt22",84,0,84
"248","POTR","CPCPRW",23,"CPCRPt23",86,5,91
"249","POTR","CPCPRW",24,"CPCRPt24",88,1,89
"250","POTR","CPCPRW",25,"CPCRPt25",89,8,97
"251","POTR","F028",5,"F028Pt05",71,0,71
"252","POTR","F028",13,"F028Pt13",76,7,83
"253","POTR","F028",24,"F028Pt24",72,6,78
"254","POTR","F028",12,"F281_012",79,0,79
"255","POTR","F028",22,"F281_022",71,7,78
"256","POTR","F028",24,"F281_024",75,1,76
"257","POTR","F028",69,"F281_069",74,4,78
"258","POTR","LVN137",11,"L13711",78,17,95
"259","POTR","LVN137",12,"L13712",79,14,93
"260","POTR","LVN137",18,"L13718",73,4,77
"261","POTR","LVN137",28,"L13728",88,9,97
"262","POTR","MDMX",1,"MDMXPt01",92,14,106
"263","POTR","MDMX",2,"MDMXPt02",96,10,106
"264","POTR","MDMX",3,"MDMXPt03",97,14,111
"265","POTR","MDMX",4,"MDMXPt04",92,17,109
"266","POTR","MDMX",5,"MDMXPt05",97,15,112
"267","POTR","MDMX",6,"MDMXPt06",95,5,100
"268","POTR","MDMX",7,"MDMXPt07",94,10,104
"269","POTR","MDMX",8,"MDMXPt08",95,5,100
"270","POTR","MDMX",9,"MDMXPt09",92,16,108
"271","POTR","MDMX",10,"MDMXPt10",95,11,106
"272","POTR","MDMX",11,"MDMXPt11",88,12,100
"273","POTR","MDMX",12,"MDMXPt12",98,4,102
"274","POTR","MDMX",13,"MDMXPt13",94,10,104
"275","POTR","MDMX",14,"MDMXPt14",97,7,104
"276","POTR","MDMX",15,"MDMXPt15",96,9,105
"277","POTR","MDMX",16,"MDMXPt16",97,8,105
"278","POTR","MDMX",17,"MDMXPt17",92,13,105
"279","POTR","MDMX",18,"MDMXPt18",97,7,104
"280","POTR","MDMX",19,"MDMXPt19",94,7,101
"281","POTR","MDMX",20,"MDMXPt20",96,6,102
"282","POTR","MDMX",21,"MDMXPt21",91,16,107
"283","POTR","MDMX",22,"MDMXPt22",84,11,95
"284","POTR","MDMX",23,"MDMXPt23",92,18,110
"285","POTR","MDMX",24,"MDMXPt24",81,15,96
"286","POTR","MDMX",25,"MDMXPt25",96,14,110
"287","POTR","MDMX",26,"MDMXPt26",96,0,96
"288","POTR","TCC01",1,"tcc01",82,10,92
"289","POTR","TCC04",4,"tcc04",83,9,92
"290","POTR","TCC05",5,"tcc05",101,10,111
"291","POTR","TCC55_57",55,"tcc55",123,45,168
"292","POTR","TCC55_57",56,"tcc56",125,10,135
"293","POTR","TCC55_57",57,"tcc57",125,13,138
